Species,years,place,lat,lon,Description,imag,TRUE,Prediction
Brasiliopuntia brasiliensis,2001,"Guatemala, Suchitepequez, San Miguel Duenas.",14.421598,-91.404825,"Arborescente, 3.5 m de altura, segmentos bovados, glabros, delgados. Espinas blancas, aciculares, base aplanada, el ápice ambar. Flores amarillas, 2.5 cm largo, 3 cm ancho en anthesis; estilo blanco amarillento, stigma verde claro, lobulos 5; filamentos blanquecino-amarillento, thygmotropicos; antheras amarillas, 1.5 mm long. Frutos amarillentos, esteriles.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0058/ASU0058989.jpg,0,0
Coleocephalocereus fluminensis,1961,"Brazil, Guanabara, Reserva Biologica de Jacarepagua.",-22.959706,-43.369083,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00004/DES00004290.jpg,0,0
Lepismium cruciforme,1964,"Brazil, Santa Catarina, entre Sao Miguel Oeste e Peperi-Guacu",-28.333333,-49.116667,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00004/DES00004305.jpg,0,0
Echinomastus intertextus var. dasyacanthus,2005,"USA, New Mexico, Dona Ana, 1 km SE of Anthony Gap, 8 km east of Anthony.",32.002827,-106.513594,Frequent among gravel where Larrea is abundant.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0066/ASU0066603.jpg,1,0
Austrocactus spiniflorus,1982,"Chile, Santiago Metropolitan, Town: Lagunilla. Below Lagunilla under shrubs.",-33.783333,-70.25,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00046/DES00046753.jpg,0,0
Echinocereus reichenbachii subsp. caespitosus,2014,"USA, Texas, Hays, 3 air miles north of the center of San Marcos; 5 air miles south of the Blanco River, north side of country road 222 (Hilliard Road)",29.928213,-97.941184,Locally abundant (32 in my path per hour of slow searching).,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU_Plants/201410/ASU0079858_1413847576.jpg,1,0
Opuntia cymochila,2015,"United States, NEW MEXICO, Lincoln County, Sierra Blanca, NE slope of Grindstone Mesa, above and west of Grindstone Canyon, 3km WSW of central Ruidoso",33.3206,-105.7073,,,0,0
Echinocereus fendleri subsp. rectispinus,1970,"Mexico, Sonora, 2.8 mi E of rd to Bacoachi from Cananea, jct. Rd. 6.5 mi N of Bacoachi",31.020833,-110.218333,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00015/DES00015976.jpg,1,0
Rhipsalis pulchra,1960,"Brazil, Est. do Rio de Janeiro, Teresopolis, Parque Nacional da Serra dos Orgaos, entre Abrigos 2 e 3.",-22.400927,-42.8289,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00004/DES00004274.jpg,0,0
Melocactus praerupticola,2016,"Dominican Republic, La Vega, Constanza, Poblado, El Limon, Loma Los Indios, al costado del Rio Pantuflas, propiedad de Efrain Rosado.",18.90169,-70.81022,"Cuerpo globoso, hasta 10 cm de alto, con 10 costillas, flores rosadas, drutos rosados, aovados; mayormente juvenilies aqui, los adultos estan sacados para vendor por usus medicinales; vimos restos de un especimen pelado (d9nde habian quitado las espinas y parte de las raices).",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00086/DES00086227.jpg,0,0
Opuntia repens,2009,"USA, Puerto Rico, Lajas, Off Hwy. 116 W, Lajas, ca. 5 km NW of La Parguera, ca. 50 m from paved road along dirt rd.",17.99624,-67.0903,"Common. Plants climbing over rocks, prostrate to slightly ascending to 20 cm tall, none seen in flower, cladodes easily disarticulating.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00077/DES00077272.jpg,0,0
Eriosyce villicumensis,1986,"Argentina, Sierra Villucum, on hills above mine. Also on flats along road.",-31.25,-68.633333,form  villicumensis  subs. Pyrrhocactus,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00037/DES00037178.jpg,1,0
Mammillaria grahamii subsp. grahamii,2012,"Mexico, Sonora, Mazatán, Rancho Chicural, 8.5 km (by air) WSW of Mazatán.",28.97889,-110.22306,,https://serv.biokic.asu.edu/imglib/madrean/maba/flora/MABA/201301/Mammillaria_grahamii-TRVa.jpg,1,0
Opuntia columbiana,2014,"United States, Washington, Spokane, Spokane, Between North Ash Street and North Maple Street south of West Courtland Avenue",47.688664,-117.435831,,http://storage.idigbio.org/portals/seinet/nansh/SEINet/201711/DSC00388_1510890504.jpg,0,0
Cylindropuntia acanthocarpa var. acanthocarpa,2004,"USA, Arizona, Pinal County, Arizona Trail, Tiger Mine Trailhead to Freeman Road passage, just above Putnam Wash, north of Bloodsucker Wash.",32.827194,-110.813417,"Frequent, erect-sprawling, flowers 40(l) x 40(w) mm, 46x45 mm, 40x43 mm, 36x40 mm, perianth orange-red-rust red, filaments yellow-maroon-cream, anthers yellow, style very light green to cream white, stigma lobes 8, light green.",,0,0
Opuntia cordobensis,2006,"Argentina, Salta, Quebrada del Toro en ruta 51 ca. de 1.2 km al W de Campo Quijano.",-24.898333,-65.663303,"Arbustos, 1.0-1.30 m del alto, 1.5 m de ancho; cladodios oblongos a anchamente obovados, 16-25 cm de largo, 12-14 cm de ancho, verde grisaceos, el apice agudo; areolas dispuestas en 6-7 series espiraladas, distantes 3-4 cm; areolas elipticas a circulares, espinas blancas a grises, subuladas, 0-3, 1-3.5 cm de largo.  Flores anaranjadas, 8 cm de largo, 6 cm de ancho; pericarpelo elongado, verde obscuro, glabro, con 4 series de areolas.  Areolas circulares, con lana blanca.  Tepalos externos deltoides, verde obscuro; tepalos internos naranja, 4-4.5 cm de largo, 2.5 cm de ancho; filamentos amarillos, 1-1.2 cm de largo, anteras amarillo claro, 2.5mm de largo, estilo anaranjado, 1.5 cm de largo; estigma amarillento, 5-6 mm de largo.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00063/DES00063852.jpg,1,0
Echinocereus conoideus,1932,"United States, Texas, Edwards",29.982633,-100.304742,,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0341000/BRIT341717_med.jpg,0,0
Eriosyce bulbocalyx,1986,"Chile, Town: Marayes, San Juan. In rocky hills on side of road. Plant separate.",-31.45,-67.38333,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00046/DES00046810.jpg,0,0
Melocactus harlowii,2018,"Cuba, Guantanamo, Imías, Imías, Primera terraza de Macambo, Imías.",20.069444,-74.630833,"Miles de indivs. con 11-13 costillas, muchos ramificando desde el cefalio, los tépalos rosados, frutos blancos a rosado-morados.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00085/DES00085932.jpg,1,0
Cylindropuntia abyssi,2007,"USA, Arizona, Coconino County, Grand Canyon, Granite Park, river mile 209, river left, ca 1/4 mile from Colorado River, south of wash.",35.967767,-113.314583,"Frequent to occasional shrub, 2/3 m tall x 2/3 m wide, flowers yellow, old, spine, sheaths tan with hint of pink; plant suggestive of some C. acanthocarpa introgression.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00058/DES00058940.jpg,1,0
Pereskiopsis porteri,2013,"Mexico, Sonora, Navojoa, Mesa Masiaca, 7.1 km (by air) W of Masiaca, 35.4 km (by air) SSE of Navojoa.",26.77389,-109.30611,,https://serv.biokic.asu.edu/imglib/madrean/maba/flora/MABA/201302/Pereskiopsis_porteri-TRVa.jpg,0,0
Cleistocactus leonensis,1985,"Ecuador, Azuay, Above the Rio Leon.",-3.41667,-79.33333,"Decumbent to erect, branching usually from near base, stem dark green, spines gray, fruit dark green, seeds black, no flowers.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0052/ASU0052543.jpg,0,0
Opuntia x occidentalis,1988,"United States, California, Orange, N. Euclid Ave, W side of Fullerton, 1/2 mi N of Bastanchury",33.89619,-117.943741,"Fls bright lemon yellow, faint salmon base, yellow filaments; style white, stigmas bright dark green.",,0,0
Opuntia basilaris var. basilaris,2008,"United States, Utah, Washington, Foothills of the Beaver Dam Mountains.",37.064667,-113.91235,,,0,0
Opuntia littoralis var. vaseyi,2015,"United States, CALIFORNIA, San Bernardino, San Gabriel Mountains, 27 km NW of central San Bernardino, 20km SW of Hesperia, 1.4km WNW of Cajón Junction",34.3156,-117.489,Local shrub with mostly prostrate to decumbent stems.,,0,0
Echinomastus warnockii,1995,"USA, Texas, Brewster County, Big Bend National Park, Willow Springs Site.",29.309333,-103.035317,"Plants occasional, small, single.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00041/DES00041649.jpg,0,0
Copiapoa taltalensis,2011,"Chile, Region II, Originally received into the DBG living collection as a plant collected by E. F. Anderson 6358 9 July 1997 with Fred Katterman 1086",-25.63575,-70.631833,"Single stem with 5 main branches with sub-branching, height 13 cm, diameter 20 cm; stems gray-green with some browning; spines lighty gray with black or dark brown tips; flowers collected mid-afternoon, diameter 46-54 mm, length 35-38 mm, outer perianth cream with a wide, dark pink midstripe, inner perianth cream with pale pink midstripe; stigma lobe number 9-10, cream or pale yellow; style hot pink; filaments cream, some filaments tight around style, others against inner perianth; sweet nectar.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00069/DES00069097.jpg,1,0
Opuntia spinosibacca,2017,"USA, Texas, Brewster, Big Bend National Park, Rooney's Place",29.094472,-103.06875,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00069/DES00069808.jpg,0,0
Opuntia strigil,1986,"USA, Texas, Terrell County, 2.5 miles E of sanderson at the landfill on limestne hillside.",29.258333,-102.925,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00037/DES00037562.jpg,0,0
Mammillaria rettigiana,1990,"Mexico, Guanajuato, San Miguel de Allende: San Miguel de Allende-Guanajuato. North of road next to quarry.",20.9,-101.075,Ample plants.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00063/DES00063826.jpg,1,0
Melocactus curvispinus subsp. caesius,2011,"Venezuela, Isla Margarita, Originally received into the DBG living collection as a seed from Stadtisch Sukkulenten-Sammlung 1994/95 #85, originally co",11.126672,-63.841553,"Plant height 8 inches, globose; stem gray-green, rib count 13, crest of stem has a short protrusion covered in white wooly spines and reddish-brown spines; spines tan or amber or pale reddish-brown with darker tips, one erect spine; flowers collected in the afternoon, diameter 16 mm, length 20-21 mm, outer perianth pale hot pink, inner perianth hot pink; stigma lobe number 6, white; style pale pink or white; filaments very pale yellow; fruits fleshy, ovoid, red at tops, hot pink at base, diameter 9 mm, length 20-22 mm; seeds black.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00068/DES00068911.JPG,1,0
Mammillaria yaquensis,1992,"Mexico, Sonora, 0.4 mi ESE of turnoff to Las Guasimas on México 15, Son.",27.90972,-110.5583,,http://db.herbarium.arizona.edu/images/ARIZ/327/ariz327375.jpg,0,0
Leptocereus quadricostatus,1995,"Puerto Rico, Peñuelas, Puerto Rico: Peñuelas Mpio.. Lomas contiguas a la autopista n. 2, 2.5 km al este de Seboruco. Bosques secos colinosos. Planta r",18.1307,-65.3082,,http://storage.idigbio.org/portals/seinet/sernec/FLAS/00268/268354a1_1559662173_web.jpg,0,0
Opuntia atropes,2014,"Mexico, Morelos, Yautepec, Ctra. federal Morelos Cuernavaca-Yautepec de Zaragoza",18.945444,-99.077444,,http://db.herbarium.arizona.edu/images/ARIZ/ARIZ/00426/ARIZ426076_lg.jpg,0,0
Echinocereus bristolii,1982,"Mexico, Sonora, Sierra W of Moctezuma ca. 38 miles NE of the road junction at Mazocauhi where Hwy 21 crosses a bridge over an arroyo.",30.026421,-109.821544,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0053/ASU0053114.jpg,0,0
Hylocereus undatus,2007,"Mexico, Yucatan, Sotuta, Mexico: State: Yucatan: Sotuta. Tabi: A resident of Tabi's yard. Elev. 24 m. Highly disturbed area. Vine, large white flower,",20.5993,-88.89868,,http://storage.idigbio.org/portals/seinet/sernec/FLAS/00225/225426a1_1522291643_web.jpg,0,0
Stenocereus alamosensis,2009,"Mexico, Sonora, Benjamín Hill, 8.5 km (by air) ESE of Benjamín Hill.",30.14111,-111.03028,,https://serv.biokic.asu.edu/imglib/madrean/maba/flora/MABA/201303/Stenocereus_alamosensis-T_4.jpg,1,0
Mammillaria elongata,1991,"Mexico, Queretaro, Mpio. de Cadereyta. A 7 km al N de Vizarrón por la carretera a Pinal de Amoles.",20.85,-99.71667,"Cuerpo cespitoso, tallos cilindricos de aprox. 3 cm de largo y 2 cm diám.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0053/ASU0053613.jpg,1,0
Ferocactus pilosus,2000,"Mexico, Nuevo Leon, 6.7 mi E of jct Rte 57 at San Roberto, along road to Linares.",24.683062,-100.297495,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0053/ASU0053804.jpg,0,0
Opuntia basilaris var. brachyclada,1996,"USA, California, San Bernardino County, Rt 138, 5 miles W of I-15.",34.355444,-117.529417,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00064/DES00064711.jpg,1,0
Selenicereus grandiflorus,1900,"United States, Pennsylvania, Erie, Erie",42.12735,-80.11068,,/imglib/seinet/mam/CM/CM169/CM169216_1583434673_web.jpg,0,0
Cylindropuntia imbricata subsp. argentea,1993,"USA, Texas, Brewster County, Big Bend National Park, Rooney's Place, on N side of Rio Grande.",29.087778,-103.070278,"Occasional here, on top of ridge, single stemmed but branched above, spines and sheaths silver; plants seemingly stressed by dry conditions.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00038/DES00038440.jpg,0,0
Mammillaria fittkaui,1991,"Mexico, Guanajuato, Salamanca: Cerro Gordo. Above San Rafael de Cerro Gordo.",20.608333,-101.116667,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES/DES00063/DES00063766.jpg,0,0
Echinocactus polycephalus,2008,"USA, Arizona, Yuma County, Cultivated at the Desert Botanical Garden, Phoenix, Arizona, accession number 1993 0429 0101, originally collected by Ted A",32.293056,-113.998056,"8 stems in clump, ribs 13-15, spines triangular or quadrangular, gray with darker tips (brownish); flowers 54(l)x44(w) mm, 48x45 mm, outer perianth reddish brown tip with green or yellow base, lower perianth are bract-like, inner perianth yellow with a few with reddish tips, filaments light yellow, anthers yellow, style cream-yellow, stigma yellow, 11, 12; soft wooly spines at base of ovary.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00060/DES00060837.jpg,1,0
Cylindropuntia ganderi var. ganderi,2009,"USA, California, San Diego County, Anza Borrego Desert State Park, 3.5 miles E of Ranchita, Culp Valley, 100 yds W of intersection of county route S22",33.2098,-116.4536,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00076/DES00076270.jpg,1,0
Cumulopuntia boliviana subsp. boliviana,2006,"Argentina, Salta, Quebrada del Toro en ruta 51 entre San Antonia de los Cobres y Santa Rosa del Tastil.  Ca. de 1.2 km al SE de entronque con ruta 40.",-23.262056,-66.217153,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00063/DES00063850.jpg,1,0
Rhipsalis neves-armondii,1962,"Brazil, Guanabara, Avenida Edison Passos.",-22.866667,-47.05,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00004/DES00004300.jpg,0,0
Melocactus nagyi,2019,"Cuba, Granma, Pilón, El Salvial, a un lado de la carretera Sántiago-Pilón, muy cerca de la Estación Biológica de la Reserva.",19.9,-77.316667,"población grande con adultos y bastante juveniles, tallo 15 x 12 cm, con 11 costillas, cefalio 2 x 5 cm, botones y flores viejas con los tépalos rosados, fruto 19 x 8 mm, rosado, clavado; muchos indvs, en población con múltiples tallos por daños del cefalio. Representa población de M. nagyi Mészáros.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00085/DES00085939.jpg,0,0
Echinocereus palmeri,1981,"Mexico, Chihuahua, Sierra Del Nido complex. 7.5 road mi W Bella Vista on Mesa La Boquilla.",29.075,-106.4917,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0053/ASU0053195.jpg,0,0
Dendrocereus nudiflorus,2018,"Cuba, Matanzas, Matanzas, Punta Cuanos, Punta Guanos",23.14904,-81.63566,"árbol hasta 6 m de alto, su cópula hasta 8 m de ancho, frutos maduros verdes, 10.5 x 9 cm, cayendose al piso al madurar",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00085/DES00085949.jpg,0,0
Mammillaria moelleriana,1994,"Mexico, Zacatecas, Fresnillo, Fresnillo, Sierra Chapultepec",23.445,-103.113333,Occasional milky sap. Milk.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00086/DES00086923.jpg,0,0
Mammillaria saboae,2008,"Mexico, Sonora, Agua Prieta, Rancho Las Cenizas, 11.6 km southeast of Agua Prieta on road to Colonia Morelos.",31.244,-109.435389,"Solitary mounded (40 mm high, 115 mm diameter) cactus with 15 heads (21-32 mm diameter) in rocky, reddish soil.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0059/ASU0059653.jpg,0,0
Escobaria vivipara,2018,"United States, Nevada, Lincoln, Basin and Range National Monument. White River Drainage; along Old White River Road. ~0.2mi by air north of John Wrigh",37.712649,-115.155354,Perennial to 10cm. Stem ovoid. Corolla pink-magenta.,http://storage.idigbio.org/portals/seinet/intermt/ENLC/201901/GG3537_Coryphantha_vivipara_3f_1547842769.jpg,1,0
Nyctocereus serpentinus,1994,"Mexico, Sonora, Sierra de Alamos, ca. 3.5 km SW of Alamos, 0.5 km N of La Huerta, ca. 3 km NE Aduana Peak, Río Mayo region, Son.",26.99444,-108.975,,http://db.herbarium.arizona.edu/images/ARIZ/310/ariz310988_lg.jpg,0,0
Hylocereus purpusii,2011,"Mexico, Nayarit, Originally received into the DBG living collection as a cutting from a plant grown the Huntington Botanical Garden which was original",21.990956,-104.945981,"Epiphytic climber, horned tip, plant height 1 meter; stem grey-green or blue-grey-green, rib count 3; spineless or with very minute spines less than 4 per aerole, spines grey to dark grey; flower collected in the morning, diameter 15 cm, length 25 cm, outer perianth green with red or red-violet at edges, middle white with pale pink midstripe, inner perianth white, flower was closed and had bloomed overnight, nectar gum on outer perianth lips; stigma lobe number 25, white or cream; style white or cream; filaments white.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00069/DES00069431.jpg,1,0
Thelocactus conothelos,1991,"Mexico, Nuevo Leon, Mpio. de Dr. Arroyo. La Vallejeña, a 21 km E de Matehuala, por carretera a Dr. Arroyo, en cerros al S de la carretera.",23.7,-100.45,"Cuerpo simple, globoso, de hasta 15 cm de diám. Frutos maduros.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0054/ASU0054042.jpg,0,0
Opuntia engelmannii var. cuija,1988,"Mexico, Zacatecas, Rte 54, 5 mi SW of turnoff to San Tiburcio.",24.14946,-101.484046,Tree to 1.5 m tall; trunk heavily spined.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0058/ASU0058213.jpg,0,0
Eriosyce curvispina var. mutabilis,1977,"Chile, 2 km E of Molle in grass lands",-32.283333,-71.433333,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00036/DES00036906.jpg,1,0
Epiphyllum hookeri,2001,"Mexico, Mexico, Rincon del Carmen.",18.901662,-100.120039,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00003/DES00003818.jpg,0,0
Parodia erubescens,2019,"United States, Utah, Cache, Logan, Private Residence at 480 Canyon Road",41.734195,-111.823286,"Globular plant, 5 cm tall; areoles whitish, aligned along plant ribs; spines cinnamon colored, fairly dense, spreading; FLowers 4 cm loong, petals lemon yellow",http://storage.idigbio.org/portals/seinet/intermt/USU_UTC/UTC00283/Parodia_erubescens_flower_base_1557771637.jpg,0,0
Opuntia quimilo,2015,"USA, California, San Diego County, Balboa Park Desert Garden on Park Boulevard.",32.73167,-117.14611,"Plant 1.5 m high; flowers orange with purple-red on the outside, style white, stamens cream, fruits green.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00073/DES00073245.jpg,0,0
Echinocereus bonkerae,2013,"United States, Arizona, Pima, Tortolita Mountains, Wild Burro Trail, near northeast trailhead and the goat pen",32.50795,-111.04202,"Multi-stemmed cactus on steep ravine side, short spines, many ribs",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/SEINet/201304/4Echinocereus_bonkerae_4-.jpg,1,0
Mammillaria mercadensis,1994,"Mexico, Durango, Km 261, #45 southeast of Durango",24.011667,-104.39,Few plants,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00086/DES00086926.jpg,1,0
Opuntia x vaseyi,1946,"United States, California, San Bernardino, Southern slope of Cajon Pass.",34.3252,-117.4284,,,0,0
Cumulopuntia sphaerica,2013,"Chile, Coquimbo, Punta Teatinos",-29.823,-71.292,"Clump of low spreading cactus stems, these more or less sphaerical",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/201304/mDSC08148.jpg,1,0
Opuntia antillana,2016,"Dominican Republic, Pedernales, Pedernales, Pedernales, Sierra de Bahoruco, cruce de Cabo Rojo.",17.98139,-71.65212,"Arbustos rasteros formando grandes colonias debajo del bosque seco abierto, todos estériles; con escamas duras y algunas aparentemente previamente atacado por Cactoblastis cactorum como en O. dillenii por la zona; plantas con aparencia de un cruce entre O. dillenii y O. taylorii.",,0,0
Cleistocactus laniceps,2011,"United States, Florida, Sarasota Co., Lake Sarasota, Chaucer Lane, 2.2 km E of I-75.",27.2969,-82.4256,,http://storage.idigbio.org/portals/seinet/sernec/USF/00258/258749_1530816265_web.jpg,0,0
Opuntia jaliscana,1992,"Mexico, Jalisco, Mpio. de Zapotitlan. Rancho El Jabali, 25 km (airline) NNW of Colima in the SW foothills of the Volcan de Colima. Savannah/pasture ar",19.44667,-103.675,"Uncommon arborescent Platyopuntia, 4.5 m high, with a single trunk 15 cm DBH, branches in upper half of plant. FIs. yellow fading to peach pink; stigmas light green, style white; stamens yellow.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0058/ASU0058306.jpg,0,0
Opuntia streptacantha,1988,"Mexico, Zacatecas, Along Rte 49, 8 miles E of jct Rte 45 and at Zacatecas-San Potosi state line.",22.695617,-102.191265,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0058/ASU0058520.jpg,0,0
Echinocereus bacanorensis,2014,"Mexico, Sonora, Bacanora, Rancho las Tierras de Jimenez, 14.9 km (by air) SW of Bacanora, Sierra de Murrieta.",28.8925,-109.52583,,https://serv.biokic.asu.edu/imglib/madrean/greatergood/flora/GreaterGood/MDE-2/Echinocereus_santaritensis_bac_1504741304.jpg,0,0
Disocactus speciosus,2007,"Mexico, Oaxaca, Teotitlán de Flores MagÃ³n Municipio, Puerto de la Soledad 30 km, al NE de Teotitlá",18.166667,-97,,http://db.herbarium.arizona.edu/images/ARIZ/392/ariz392301.jpg,1,0
Austrocylindropuntia cylindrica,2003,"Ecuador, Chimborazo, Guamote; 40 km W of Sangay; along railroad.",-1.91667,-78.75,"Plants locally abundant but probably cloning; shrubs to 3 m tall forming dense thickets; flowers red, but usually not opening.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0054/ASU0054070.jpg,0,0
Echinocereus viridiflorus subsp. cylindricus,1965,"United States, Texas, Jeff Davis, 12 1/3 miles N.E. of Ft. Davis",30.715478,-104.14002,"Stems oblong, about 10 cm. tall and 5.5 cm. thick, 13-ribbed; areola with 13-20 radial spines, these 1 cm. long and white; upper areolae with one central spine, 15 mm. long or more, reddish-brown throughout or at the tip; in bloom.",https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0342000/BRIT342004_med.jpg,0,0
Cleistocactus sepium var. ventimigliae,1985,"Ecuador, Imbabura, 1.5 km west of Rio Mira.",-0.55,-78.167,"Stens dark green, decumbent, to 1 m tall, spines dark brown when young, light gray with age, the newer spines with light green bases, flowers orange-red, slightly irregular, stigma pale green, stamens grouped above stigna, anthers red-purple, fruit green with a purple apex.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00078/DES00078340.jpg,0,0
Mammillaria perezdelarosae,1989,"Mexico, Aguascalientes, Pabellon Arteaga: 5 km SE of Rancho Santa Rosa.",22,-102.545,ample plants,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00057/DES00057719.jpg,1,0
Echinopsis pentlandii,1917,"United States of America, New York, Bronx Co., Bronx, New York Botanical Garden",40.862412,-73.878143,,http://storage.idigbio.org/portals/seinet/midwest/misc/201504/webmedia_1429761320_web.jpg,0,0
Opuntia cespitosa,2018,"United States, New York, Queens, Broad Channel, Queens, NY, USA",40.61539722,-73.833,,,0,0
Mammillaria formosa,1980,"Mexico, Zacatecas, Ca. 10.5 mi from Concepcion del Oro on road to Mazapil.",24.63805,-101.49554,"Possibly lloydii; would need more material to be sure; lloydii solitary; formosa often forming large clusters with 2-4 centrals, 0-several radials. Sap milky, flower from different plant.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0053/ASU0053616.jpg,0,0
Acanthocereus occidentalis,1972,"Mexico, Sinaloa, Along Rte 40, 1 mi NE of jct Rte 15 and 2 mi NE of Villa Union.",23.212977,-106.180075,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0052/ASU0052673.jpg,0,0
Opuntia mesacantha subsp. lata,2015,"USA, Georgia, Bullock County, Within 1.2 mi. N of Lotts Cr. Bridge, side of US 25 ca. 6 rd-mi. S of Statesboro and ca. 4 mi N of I-16.",32.369167,-81.852778,Flower Color Data: 2741B (2B) Tepals: yellow; Filaments: yellow to golden; Anthers: very pale yellow/cream; Style & stigma: white. Approx. flowering dates: 13-21 May.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00060/DES00060599.jpg,1,0
Echinomastus intertextus var. intertextus,1940,"United States, Arizona, Santa Cruz County, 1 miles E of Canille",31.53333,-110.5,,http://db.herbarium.arizona.edu/images/ARIZ/83/ariz83784.jpg,0,0
Eriosyce odieri subsp. glabrescens,1987,"Chile, South on the hills",-28.183333,-71.133333,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00037/DES00037158.jpg,1,0
Opuntia lata,2010,"United States, Florida, St. Johns, United States: Florida: St. Johns County. Ponte Vedra Beach, ca. 20 km N of St. Augustine along the coast, secondar",29.665142,-81.211253,,http://storage.idigbio.org/portals/seinet/sernec/FLAS/00236/236550a1_1559661584_web.jpg,0,0
Cereus hildmannianus,2016,"Uruguay, Salto, Salto, Ruta 31, KM 130",-31.459912,-56.7168875,Large cactus,http://storage.idigbio.org/portals/seinet/arizona/SEINet/201612/DSCN0131-m_1480777491.jpg,0,0
Eriosyce strausiana,1986,"Chile, 3 km S on W side of concrete aueduct, {Portrerilla?}",-33,-69.166667,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00037/DES00037164.jpg,1,0
Cephalocereus purpusii,1976,"Mexico, Sinaloa, In the vicinity of Mazatlan.",23.2361111,-106.4,,http://storage.idigbio.org/portals/seinet/midwest/misc/201504/webmedia_1429414531_web.jpg,0,0
Ferocactus alamosanus var. alamosanus,2006,"Mexico, Sonora, Mpio. de Alamos. Cerro El Cuervo above Rancho Santa Barbara, 23.7 km (by air) NE of Alamos.",27.13,-108.7231,Solitary cactus at base of Ipomoea arborescens.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0053/ASU0053594.jpg,0,0
